task,model,temperature,sample_idx,prompt_id,raw,answer_norm
day,qwen2.5:7b,0.0,0,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,1,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,2,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,3,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,4,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,5,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,6,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,7,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,8,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,9,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,10,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,11,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,12,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,13,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,14,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,15,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,16,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,17,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,18,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,19,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,20,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,21,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,22,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,23,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,24,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,25,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,26,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,27,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,28,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,29,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,30,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,31,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,32,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,33,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,34,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,35,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,36,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,37,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,38,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,39,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,40,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,41,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,42,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,43,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,44,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,45,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,46,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,47,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,48,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,49,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,50,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,51,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,52,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,53,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,54,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,55,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,56,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,57,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,58,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,59,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,60,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,61,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,62,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,63,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,64,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,65,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,66,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,67,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,68,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,69,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,70,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,71,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,72,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,73,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,74,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,75,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,76,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,77,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,78,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,79,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,80,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,81,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,82,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,83,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,84,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,85,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,86,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,87,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,88,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,89,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,90,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,91,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,92,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,93,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,94,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,95,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,96,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,97,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,98,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,99,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,100,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,101,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,102,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,103,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,104,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,105,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,106,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,107,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,108,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,109,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,110,entropy_framing,Wednesday,wednesday
day,qwen2.5:7b,0.0,111,entropy_framing,Wednesday,wednesday
