task,model,temperature,sample_idx,prompt_id,raw,answer_norm
day,qwen2.5:7b,0.0,0,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,1,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,2,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,3,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,4,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,5,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,6,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,7,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,8,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,9,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,10,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,11,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,12,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,13,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,14,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,15,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,16,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,17,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,18,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,19,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,20,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,21,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,22,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,23,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,24,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,25,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,26,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,27,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,28,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,29,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,30,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,31,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,32,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,33,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,34,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,35,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,36,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,37,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,38,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,39,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,40,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,41,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,42,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,43,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,44,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,45,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,46,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,47,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,48,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,49,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,50,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,51,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,52,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,53,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,54,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,55,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,56,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,57,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,58,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,59,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,60,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,61,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,62,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,63,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,64,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,65,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,66,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,67,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,68,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,69,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,70,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,71,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,72,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,73,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,74,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,75,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,76,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,77,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,78,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,79,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,80,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,81,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,82,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,83,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,84,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,85,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,86,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,87,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,88,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,89,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,90,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,91,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,92,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,93,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,94,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,95,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,96,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,97,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,98,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,99,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,100,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,101,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,102,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,103,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,104,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,105,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,106,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,107,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,108,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,109,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,110,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,111,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,112,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,113,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,114,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,115,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,116,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,117,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,118,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,119,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,120,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,121,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,122,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,123,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,124,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,125,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,126,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,127,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,128,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,129,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,130,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,131,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,132,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,133,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,134,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,135,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,136,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,137,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,138,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,139,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,140,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,141,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,142,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,143,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,144,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,145,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,146,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,147,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,148,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,149,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,150,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,151,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,152,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,153,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,154,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,155,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,156,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,157,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,158,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,159,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,160,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,161,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,162,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,163,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,164,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,165,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,166,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,167,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,168,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,169,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,170,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,171,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,172,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,173,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,174,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,175,modulo_framing,wednesday,wednesday
day,qwen2.5:7b,0.0,176,modulo_framing,wednesday,wednesday
