,source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key,valid_manual,collision_manual,score_manual
1,Part2/outputs/answers_player1.csv,answers_player1,Q001,A,Animals,15,albatross,albatross,1,1,0,Q001::15,1,1,0
2,Part2/outputs/answers_player2.csv,answers_player2,Q001,A,Animals,15,albatross,albatross,1,1,0,Q001::15,1,1,0
3,Part2/outputs/answers_player1.csv,answers_player1,Q004,B,Things that are red,3,banana,banana,0,0,0,Q004::3,0,0,0
4,Part2/outputs/answers_player2.csv,answers_player2,Q004,B,Things that are red,3,banana,banana,0,0,0,Q004::3,0,0,0
5,Part2/outputs/answers_player1.csv,answers_player1,Q006,C,Board games,16,chess,chess,1,1,0,Q006::16,1,1,0
6,Part2/outputs/answers_player2.csv,answers_player2,Q006,C,Board games,16,chess,chess,1,1,0,Q006::16,1,1,0
7,Part2/outputs/answers_player1.csv,answers_player1,Q006,C,Board games,19,chess,chess,1,1,0,Q006::19,1,1,0
8,Part2/outputs/answers_player2.csv,answers_player2,Q006,C,Board games,19,chess,chess,1,1,0,Q006::19,1,1,0
9,Part2/outputs/answers_player1.csv,answers_player1,Q009,E,Sports,11,tennis,tennis,0,0,0,Q009::11,0,0,0
10,Part2/outputs/answers_player2.csv,answers_player2,Q009,E,Sports,11,volleyball,volleyball,0,0,0,Q009::11,0,0,0
11,Part2/outputs/answers_player1.csv,answers_player1,Q009,E,Sports,17,tennis,tennis,0,0,0,Q009::17,0,0,0
12,Part2/outputs/answers_player2.csv,answers_player2,Q009,E,Sports,17,tennis,tennis,0,0,0,Q009::17,0,0,0
13,Part2/outputs/answers_player1.csv,answers_player1,Q011,F,Fish,12,flounder,flounder,1,0,1,Q011::12,1,0,1
14,Part2/outputs/answers_player2.csv,answers_player2,Q011,F,Fish,12,goldfish,goldfish,1,0,1,Q011::12,0,0,0
15,Part2/outputs/answers_player1.csv,answers_player1,Q013,G,U.S. states,16,georgia,georgia,1,1,0,Q013::16,1,1,0
16,Part2/outputs/answers_player2.csv,answers_player2,Q013,G,U.S. states,16,georgia,georgia,1,1,0,Q013::16,1,1,0
