question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,antelope,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,1,albatross,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,2,albatross,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,3,alpaca,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,4,albatross,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,5,albatross,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,6,alpaca,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,7,alpaca,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,8,alpaca,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,9,albatross,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,10,albatross,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,11,albatross,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,12,alpaca,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,13,antelope,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,14,alpaca,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,15,albatross,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,16,aardvark,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,17,aardvark,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,18,antelope,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q001,A,Animals,19,alpaca,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,0,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,1,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,2,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,3,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,4,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,5,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,6,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,7,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,8,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,9,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,10,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,11,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,12,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,13,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,14,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,15,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,16,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,17,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,18,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q002,A,Jobs,19,accountant,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q003,B,Fruits,0,blueberry,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q003,B,Fruits,1,blueberry,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q003,B,Fruits,2,banana,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q003,B,Fruits,3,blueberry,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
Q003,B,Fruits,4,blueberry,qwen2.5:7b,qwen2.5_7b,0.8,40,selfplay_qwen_v1
