task,model,temperature,sample_idx,prompt_id,raw,answer_norm
day,qwen2.5:7b,0.0,0,baseline,sunday,sunday
day,qwen2.5:7b,0.0,1,baseline,sunday,sunday
day,qwen2.5:7b,0.0,2,baseline,sunday,sunday
day,qwen2.5:7b,0.0,3,baseline,sunday,sunday
day,qwen2.5:7b,0.0,4,baseline,sunday,sunday
day,qwen2.5:7b,0.0,5,baseline,sunday,sunday
day,qwen2.5:7b,0.0,6,baseline,sunday,sunday
day,qwen2.5:7b,0.0,7,baseline,sunday,sunday
day,qwen2.5:7b,0.0,8,baseline,sunday,sunday
day,qwen2.5:7b,0.0,9,baseline,sunday,sunday
day,qwen2.5:7b,0.0,10,baseline,sunday,sunday
day,qwen2.5:7b,0.0,11,baseline,sunday,sunday
day,qwen2.5:7b,0.0,12,baseline,sunday,sunday
day,qwen2.5:7b,0.0,13,baseline,sunday,sunday
day,qwen2.5:7b,0.0,14,baseline,sunday,sunday
day,qwen2.5:7b,0.0,15,baseline,sunday,sunday
day,qwen2.5:7b,0.0,16,baseline,sunday,sunday
day,qwen2.5:7b,0.0,17,baseline,sunday,sunday
day,qwen2.5:7b,0.0,18,baseline,sunday,sunday
day,qwen2.5:7b,0.0,19,baseline,sunday,sunday
day,qwen2.5:7b,0.0,20,baseline,sunday,sunday
day,qwen2.5:7b,0.0,21,baseline,sunday,sunday
day,qwen2.5:7b,0.0,22,baseline,sunday,sunday
day,qwen2.5:7b,0.0,23,baseline,sunday,sunday
day,qwen2.5:7b,0.0,24,baseline,sunday,sunday
day,qwen2.5:7b,0.0,25,baseline,sunday,sunday
day,qwen2.5:7b,0.0,26,baseline,sunday,sunday
day,qwen2.5:7b,0.0,27,baseline,sunday,sunday
day,qwen2.5:7b,0.0,28,baseline,sunday,sunday
day,qwen2.5:7b,0.0,29,baseline,sunday,sunday
day,qwen2.5:7b,0.0,30,baseline,sunday,sunday
day,qwen2.5:7b,0.0,31,baseline,sunday,sunday
day,qwen2.5:7b,0.0,32,baseline,sunday,sunday
day,qwen2.5:7b,0.0,33,baseline,sunday,sunday
day,qwen2.5:7b,0.0,34,baseline,sunday,sunday
day,qwen2.5:7b,0.0,35,baseline,sunday,sunday
day,qwen2.5:7b,0.0,36,baseline,sunday,sunday
day,qwen2.5:7b,0.0,37,baseline,sunday,sunday
day,qwen2.5:7b,0.0,38,baseline,sunday,sunday
day,qwen2.5:7b,0.0,39,baseline,sunday,sunday
day,qwen2.5:7b,0.0,40,baseline,sunday,sunday
day,qwen2.5:7b,0.0,41,baseline,sunday,sunday
day,qwen2.5:7b,0.0,42,baseline,sunday,sunday
day,qwen2.5:7b,0.0,43,baseline,sunday,sunday
day,qwen2.5:7b,0.0,44,baseline,sunday,sunday
day,qwen2.5:7b,0.0,45,baseline,sunday,sunday
day,qwen2.5:7b,0.0,46,baseline,sunday,sunday
day,qwen2.5:7b,0.0,47,baseline,sunday,sunday
day,qwen2.5:7b,0.0,48,baseline,sunday,sunday
day,qwen2.5:7b,0.0,49,baseline,sunday,sunday
day,qwen2.5:7b,0.0,50,baseline,sunday,sunday
day,qwen2.5:7b,0.0,51,baseline,sunday,sunday
day,qwen2.5:7b,0.0,52,baseline,sunday,sunday
day,qwen2.5:7b,0.0,53,baseline,sunday,sunday
day,qwen2.5:7b,0.0,54,baseline,sunday,sunday
day,qwen2.5:7b,0.0,55,baseline,sunday,sunday
day,qwen2.5:7b,0.0,56,baseline,sunday,sunday
day,qwen2.5:7b,0.0,57,baseline,sunday,sunday
day,qwen2.5:7b,0.0,58,baseline,sunday,sunday
day,qwen2.5:7b,0.0,59,baseline,sunday,sunday
day,qwen2.5:7b,0.0,60,baseline,sunday,sunday
day,qwen2.5:7b,0.0,61,baseline,sunday,sunday
day,qwen2.5:7b,0.0,62,baseline,sunday,sunday
day,qwen2.5:7b,0.0,63,baseline,sunday,sunday
day,qwen2.5:7b,0.0,64,baseline,sunday,sunday
day,qwen2.5:7b,0.0,65,baseline,sunday,sunday
day,qwen2.5:7b,0.0,66,baseline,sunday,sunday
day,qwen2.5:7b,0.0,67,baseline,sunday,sunday
day,qwen2.5:7b,0.0,68,baseline,sunday,sunday
day,qwen2.5:7b,0.0,69,baseline,sunday,sunday
day,qwen2.5:7b,0.0,70,baseline,sunday,sunday
day,qwen2.5:7b,0.0,71,baseline,sunday,sunday
day,qwen2.5:7b,0.0,72,baseline,sunday,sunday
day,qwen2.5:7b,0.0,73,baseline,sunday,sunday
day,qwen2.5:7b,0.0,74,baseline,sunday,sunday
day,qwen2.5:7b,0.0,75,baseline,sunday,sunday
day,qwen2.5:7b,0.0,76,baseline,sunday,sunday
day,qwen2.5:7b,0.0,77,baseline,sunday,sunday
day,qwen2.5:7b,0.0,78,baseline,sunday,sunday
day,qwen2.5:7b,0.0,79,baseline,sunday,sunday
day,qwen2.5:7b,0.0,80,baseline,sunday,sunday
day,qwen2.5:7b,0.0,81,baseline,sunday,sunday
day,qwen2.5:7b,0.0,82,baseline,sunday,sunday
day,qwen2.5:7b,0.0,83,baseline,sunday,sunday
day,qwen2.5:7b,0.0,84,baseline,sunday,sunday
day,qwen2.5:7b,0.0,85,baseline,sunday,sunday
day,qwen2.5:7b,0.0,86,baseline,sunday,sunday
day,qwen2.5:7b,0.0,87,baseline,sunday,sunday
day,qwen2.5:7b,0.0,88,baseline,sunday,sunday
day,qwen2.5:7b,0.0,89,baseline,sunday,sunday
day,qwen2.5:7b,0.0,90,baseline,sunday,sunday
day,qwen2.5:7b,0.0,91,baseline,sunday,sunday
day,qwen2.5:7b,0.0,92,baseline,sunday,sunday
day,qwen2.5:7b,0.0,93,baseline,sunday,sunday
day,qwen2.5:7b,0.0,94,baseline,sunday,sunday
day,qwen2.5:7b,0.0,95,baseline,sunday,sunday
day,qwen2.5:7b,0.0,96,baseline,sunday,sunday
day,qwen2.5:7b,0.0,97,baseline,sunday,sunday
day,qwen2.5:7b,0.0,98,baseline,sunday,sunday
day,qwen2.5:7b,0.0,99,baseline,sunday,sunday
day,qwen2.5:7b,0.0,100,baseline,sunday,sunday
day,qwen2.5:7b,0.0,101,baseline,sunday,sunday
day,qwen2.5:7b,0.0,102,baseline,sunday,sunday
day,qwen2.5:7b,0.0,103,baseline,sunday,sunday
