task,model,temperature,sample_idx,prompt_id,raw,answer_norm
fruitb,qwen2.5:7b,0.0,0,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,1,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,2,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,3,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,4,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,5,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,6,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,7,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,8,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,9,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,10,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,11,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,12,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,13,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,14,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,15,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,16,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,17,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,18,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,19,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,20,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,21,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,22,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,23,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,24,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,25,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,26,scattergories,blueberry,blueberry
fruitb,qwen2.5:7b,0.0,27,scattergories,blueberry,blueberry
