task,model,temperature,sample_idx,prompt_id,raw,answer_norm
fruitb,qwen2.5:7b,0.0,0,plain,banana,banana
fruitb,qwen2.5:7b,0.0,1,plain,banana,banana
fruitb,qwen2.5:7b,0.0,2,plain,banana,banana
fruitb,qwen2.5:7b,0.0,3,plain,banana,banana
fruitb,qwen2.5:7b,0.0,4,plain,banana,banana
fruitb,qwen2.5:7b,0.0,5,plain,banana,banana
fruitb,qwen2.5:7b,0.0,6,plain,banana,banana
fruitb,qwen2.5:7b,0.0,7,plain,banana,banana
fruitb,qwen2.5:7b,0.0,8,plain,banana,banana
fruitb,qwen2.5:7b,0.0,9,plain,banana,banana
fruitb,qwen2.5:7b,0.0,10,plain,banana,banana
fruitb,qwen2.5:7b,0.0,11,plain,banana,banana
fruitb,qwen2.5:7b,0.0,12,plain,banana,banana
fruitb,qwen2.5:7b,0.0,13,plain,banana,banana
fruitb,qwen2.5:7b,0.0,14,plain,banana,banana
fruitb,qwen2.5:7b,0.0,15,plain,banana,banana
fruitb,qwen2.5:7b,0.0,16,plain,banana,banana
fruitb,qwen2.5:7b,0.0,17,plain,banana,banana
fruitb,qwen2.5:7b,0.0,18,plain,banana,banana
fruitb,qwen2.5:7b,0.0,19,plain,banana,banana
fruitb,qwen2.5:7b,0.0,20,plain,banana,banana
fruitb,qwen2.5:7b,0.0,21,plain,banana,banana
fruitb,qwen2.5:7b,0.0,22,plain,banana,banana
fruitb,qwen2.5:7b,0.0,23,plain,banana,banana
fruitb,qwen2.5:7b,0.0,24,plain,banana,banana
fruitb,qwen2.5:7b,0.0,25,plain,banana,banana
fruitb,qwen2.5:7b,0.0,26,plain,banana,banana
fruitb,qwen2.5:7b,0.0,27,plain,banana,banana
fruitb,qwen2.5:7b,0.0,28,plain,banana,banana
fruitb,qwen2.5:7b,0.0,29,plain,banana,banana
fruitb,qwen2.5:7b,0.0,30,plain,banana,banana
fruitb,qwen2.5:7b,0.0,31,plain,banana,banana
fruitb,qwen2.5:7b,0.0,32,plain,banana,banana
fruitb,qwen2.5:7b,0.0,33,plain,banana,banana
fruitb,qwen2.5:7b,0.0,34,plain,banana,banana
fruitb,qwen2.5:7b,0.0,35,plain,banana,banana
fruitb,qwen2.5:7b,0.0,36,plain,banana,banana
fruitb,qwen2.5:7b,0.0,37,plain,banana,banana
fruitb,qwen2.5:7b,0.0,38,plain,banana,banana
fruitb,qwen2.5:7b,0.0,39,plain,banana,banana
fruitb,qwen2.5:7b,0.0,40,plain,banana,banana
fruitb,qwen2.5:7b,0.0,41,plain,banana,banana
fruitb,qwen2.5:7b,0.0,42,plain,banana,banana
fruitb,qwen2.5:7b,0.0,43,plain,banana,banana
fruitb,qwen2.5:7b,0.0,44,plain,banana,banana
fruitb,qwen2.5:7b,0.0,45,plain,banana,banana
fruitb,qwen2.5:7b,0.0,46,plain,banana,banana
fruitb,qwen2.5:7b,0.0,47,plain,banana,banana
fruitb,qwen2.5:7b,0.0,48,plain,banana,banana
fruitb,qwen2.5:7b,0.0,49,plain,banana,banana
fruitb,qwen2.5:7b,0.0,50,plain,banana,banana
fruitb,qwen2.5:7b,0.0,51,plain,banana,banana
fruitb,qwen2.5:7b,0.0,52,plain,banana,banana
fruitb,qwen2.5:7b,0.0,53,plain,banana,banana
fruitb,qwen2.5:7b,0.0,54,plain,banana,banana
fruitb,qwen2.5:7b,0.0,55,plain,banana,banana
fruitb,qwen2.5:7b,0.0,56,plain,banana,banana
fruitb,qwen2.5:7b,0.0,57,plain,banana,banana
fruitb,qwen2.5:7b,0.0,58,plain,banana,banana
fruitb,qwen2.5:7b,0.0,59,plain,banana,banana
fruitb,qwen2.5:7b,0.0,60,plain,banana,banana
fruitb,qwen2.5:7b,0.0,61,plain,banana,banana
fruitb,qwen2.5:7b,0.0,62,plain,banana,banana
fruitb,qwen2.5:7b,0.0,63,plain,banana,banana
fruitb,qwen2.5:7b,0.0,64,plain,banana,banana
fruitb,qwen2.5:7b,0.0,65,plain,banana,banana
fruitb,qwen2.5:7b,0.0,66,plain,banana,banana
fruitb,qwen2.5:7b,0.0,67,plain,banana,banana
fruitb,qwen2.5:7b,0.0,68,plain,banana,banana
fruitb,qwen2.5:7b,0.0,69,plain,banana,banana
fruitb,qwen2.5:7b,0.0,70,plain,banana,banana
fruitb,qwen2.5:7b,0.0,71,plain,banana,banana
fruitb,qwen2.5:7b,0.0,72,plain,banana,banana
fruitb,qwen2.5:7b,0.0,73,plain,banana,banana
fruitb,qwen2.5:7b,0.0,74,plain,banana,banana
fruitb,qwen2.5:7b,0.0,75,plain,banana,banana
fruitb,qwen2.5:7b,0.0,76,plain,banana,banana
fruitb,qwen2.5:7b,0.0,77,plain,banana,banana
fruitb,qwen2.5:7b,0.0,78,plain,banana,banana
fruitb,qwen2.5:7b,0.0,79,plain,banana,banana
fruitb,qwen2.5:7b,0.0,80,plain,banana,banana
fruitb,qwen2.5:7b,0.0,81,plain,banana,banana
fruitb,qwen2.5:7b,0.0,82,plain,banana,banana
fruitb,qwen2.5:7b,0.0,83,plain,banana,banana
fruitb,qwen2.5:7b,0.0,84,plain,banana,banana
fruitb,qwen2.5:7b,0.0,85,plain,banana,banana
fruitb,qwen2.5:7b,0.0,86,plain,banana,banana
fruitb,qwen2.5:7b,0.0,87,plain,banana,banana
fruitb,qwen2.5:7b,0.0,88,plain,banana,banana
fruitb,qwen2.5:7b,0.0,89,plain,banana,banana
fruitb,qwen2.5:7b,0.0,90,plain,banana,banana
fruitb,qwen2.5:7b,0.0,91,plain,banana,banana
fruitb,qwen2.5:7b,0.0,92,plain,banana,banana
fruitb,qwen2.5:7b,0.0,93,plain,banana,banana
fruitb,qwen2.5:7b,0.0,94,plain,banana,banana
fruitb,qwen2.5:7b,0.0,95,plain,banana,banana
fruitb,qwen2.5:7b,0.0,96,plain,banana,banana
fruitb,qwen2.5:7b,0.0,97,plain,banana,banana
