question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,antelope,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,1,antelope,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,2,antelope,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,3,albatross,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,4,aardvark,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,5,albatross,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,6,antelope,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,7,anteater,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,8,anteater,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,9,anteater,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,10,antelope,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,11,aardvark,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,12,armadillo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,13,american alligator,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,14,antelope,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,15,albatross,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,16,armadillo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,17,applebat,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,18,aardvark,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q001,A,Animals,19,american alligator,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,0,architect assistant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,1,actor,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,2,airline-attendant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,3,"actor
assistant
architect
artist
animator
arche",mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,4,apricot farmer,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,5,animal caretaker,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,6,agricultural assistant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,7,airline-pilot,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,8,aircraft assembler,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,9,"actor, architect, artist, astronaut, athlete",mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,10,architect assistant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,11,architect assistant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,12,aircraft assembly worker,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,13,actor,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,14,architect assistant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,15,architect assistant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,16,animal attendant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,17,architect assistant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,18,archaeologist assistant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q002,A,Jobs,19,architect assistant,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,0,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,1,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,2,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,3,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,4,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,5,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,6,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,7,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,8,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,9,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,10,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,11,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,12,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,13,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,14,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,15,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,16,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,17,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,18,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q003,B,Fruits,19,blueberry,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,0,bricks,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,1,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,2,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,3,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,4,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,5,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,6,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,7,"brick

However, I'd like to note that there are numerous",mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,8,"brick

For future reference, I'm just an AI and don'",mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,9,firetruck,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,10,firetruck,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,11,firetruck,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,12,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,13,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,14,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,15,brick (house),mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,16,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,17,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,18,brick,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q004,B,Things that are red,19,"brick

Note: Just to clarify, Brick is a common,",mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,0,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,1,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,2,costa rica,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,3,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,4,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,5,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,6,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,7,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,8,czechia,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,9,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,10,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,11,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,12,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,13,czechia,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,14,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,15,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,16,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,17,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,18,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q005,C,Countries,19,canada,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,0,cleristics,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,1,charade-chase,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,2,cluedo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,3,"Clue-master

Note: ""Cluedo"" was initially considered",mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,4,clue-carnage,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,5,"cluedo

For more accurate responses, please provide additional context or specific",mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,6,cluedo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,7,cluedo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,8,chinese checkers,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,9,Cluedo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,10,cluedo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,11,clerks & cluedo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,12,"cluedo

Explanation: Clue/Cluedo is",mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,13,cluedo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,14,cluedo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,15,cluecarft,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,16,clerks & clues,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,17,clue-cat-and-mice,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,18,clockwork-maze,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q006,C,Board games,19,cluedo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
Q007,D,Musical instruments,0,didgeridoo,mistral:7b,mistral_7b,1.5,40,crossmodel_mistral_T1.5_p1
