question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,1,alligator,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,2,alligator,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,3,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,4,alligator,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,5,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,6,alligator,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,7,addax,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,8,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,9,addax,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,10,alligator,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,11,alligator,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,12,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,13,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,14,alligator,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,15,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,16,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,17,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,18,aardvark,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
Q001,A,Animals,19,alligator,llama3.2:3b,llama32_3b,1.5,40,crossmodel_llama_T1.5_p1
