question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,1,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,2,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,3,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,4,aardvark,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,5,albatross,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,6,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,7,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,8,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,9,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,10,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,11,aardvark,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,12,aardvark,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,13,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,14,armadillo,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,15,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,16,antelope,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,17,aardvark,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,18,aardvark,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q001,A,Animals,19,aardvark,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,0,"actor
assistant
architect
accountant
artist
athlete",mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,1,architect assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,2,architect assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,3,actor,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,4,architect assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,5,actor,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,6,actor,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,7,airline pilot,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,8,architect assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,9,airline pilot,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,10,artist assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,11,accountant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,12,airline pilot,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,13,artist assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,14,artist assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,15,artist assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,16,actor,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,17,apothecary assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,18,accountant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q002,A,Jobs,19,architect assistant,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,0,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,1,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,2,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,3,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,4,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,5,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,6,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,7,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,8,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,9,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,10,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,11,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,12,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,13,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,14,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,15,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,16,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,17,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,18,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q003,B,Fruits,19,blueberry,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,0,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,1,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,2,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,3,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,4,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,5,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,6,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,7,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,8,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,9,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,10,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,11,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,12,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,13,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,14,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,15,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,16,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,17,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,18,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q004,B,Things that are red,19,brick,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,0,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,1,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,2,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,3,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,4,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,5,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,6,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,7,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,8,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,9,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,10,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,11,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,12,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,13,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
Q005,C,Countries,14,canada,mistral:7b,mistral_7b_T0.4_player2,0.4,40,crossmodel_mistral_T0.4_p1
